#separator:tab
#html:true
#notetype:Basic
#deck:Databricks Learner
#columns:Front	Back	Tags
#tags column:3
A data engineer uses Auto Loader to ingest JSON files from cloud storage into a Unity Catalog Delta table. New source files sometimes contain additional columns not seen before. Which configuration correctly enables automatic schema evolution?<br><br><b>A.</b> .option(&#x27;cloudFiles.schemaEvolutionMode&#x27;, &#x27;none&#x27;).option(&#x27;cloudFiles.schemaLocation&#x27;, &#x27;/mnt/schema&#x27;)<br><b>B.</b> .option(&#x27;cloudFiles.schemaLocation&#x27;, &#x27;/mnt/schema&#x27;).option(&#x27;cloudFiles.schemaEvolutionMode&#x27;, &#x27;addNewColumns&#x27;)<br><b>C.</b> .option(&#x27;cloudFiles.inferSchema&#x27;, &#x27;true&#x27;).option(&#x27;cloudFiles.schemaEvolution&#x27;, &#x27;true&#x27;)<br><b>D.</b> .option(&#x27;cloudFiles.schemaLocation&#x27;, &#x27;/mnt/schema&#x27;)	<b>Answer: B</b><br><br>Auto Loader requires &#x27;cloudFiles.schemaLocation&#x27; (to persist the inferred schema) AND &#x27;cloudFiles.schemaEvolutionMode&#x27; set to &#x27;addNewColumns&#x27; to automatically merge new columns from incoming files. Option A disables evolution. Option C uses non-existent options. Option D stores the schema but does not configure evolution behaviour.	topic::Data_Ingestion_and_Loading subtopic::Auto_Loader source::sample
A team of data engineers wants to collaborate on a shared pipeline using Databricks Repos. Each engineer needs to work on features in isolation without affecting the main branch or each other&#x27;s work. Which workflow is the recommended approach?<br><br><b>A.</b> All engineers commit directly to the `main` branch of a single shared repo in the `/Repos/Shared` folder.<br><b>B.</b> Each engineer clones the repo into their own user folder (e.g., `/Repos/&lt;user&gt;/&lt;repo&gt;`) and works on a personal feature branch, then opens a pull request in the Git provider to merge into `main`.<br><b>C.</b> Engineers share one Repo and switch branches in it as needed, coordinating verbally so no two people edit the same branch at once.<br><b>D.</b> Each engineer creates a new Git provider repository per feature, then merges them all at release time.	<b>Answer: B</b><br><br>Databricks Repos are intended to be cloned per user — each engineer gets their own working copy in `/Repos/&lt;user&gt;/&lt;repo&gt;`, can check out a feature branch, and uses the Git provider (GitHub, GitLab, etc.) to open pull requests against `main`. This isolates working state and uses the Git provider for code review. A bypasses code review entirely. C causes conflicts because a Repo&#x27;s checked-out branch is shared state — only one branch can be active at a time. D fragments history across repos and makes integration painful.	topic::Implementing_CI_CD subtopic::Databricks_Repos_and_Git_integration source::ai
A data engineer is configuring the Databricks CLI on a fresh laptop and wants to authenticate against two different workspaces (dev and prod) so they can switch between them without re-entering credentials. What is the correct approach?<br><br><b>A.</b> Run `databricks configure` once and then export `DATABRICKS_HOST` to switch workspaces.<br><b>B.</b> Run `databricks configure --profile dev` and `databricks configure --profile prod`, then use `--profile &lt;name&gt;` (or `DATABRICKS_CONFIG_PROFILE`) per command.<br><b>C.</b> Install two separate copies of the CLI, one per workspace, in different directories.<br><b>D.</b> Authenticate once with a personal access token that has cross-workspace scope.	<b>Answer: B</b><br><br>The Databricks CLI supports named profiles stored in `~/.databrickscfg`. Creating one profile per workspace and selecting it with `--profile &lt;name&gt;` (or via the `DATABRICKS_CONFIG_PROFILE` environment variable) is the standard way to manage multiple workspaces. A only changes the host, not the credentials — and overrides the profile system in an ad-hoc way. C is unnecessary and breaks the standard config file pattern. D is incorrect — personal access tokens are scoped to a single workspace; there is no cross-workspace PAT.	topic::Implementing_CI_CD subtopic::Databricks_CLI source::ai
A data engineer wants to use the same `databricks.yml` to deploy a pipeline to dev and prod, but each environment must use a different catalog (`dev_catalog` vs `prod_catalog`) and a different job schedule. Which DABs feature should they use?<br><br><b>A.</b> Maintain two separate bundle directories and copy resources between them before each deploy.<br><b>B.</b> Define variables and per-target overrides in `databricks.yml`, referencing them as `${var.catalog}` in resource definitions.<br><b>C.</b> Use environment variables exported in the shell before each `databricks bundle deploy` call.<br><b>D.</b> Hard-code prod values in `databricks.yml` and use `sed` to substitute them for dev deploys in CI.	<b>Answer: B</b><br><br>DABs natively support variables and per-target overrides — you declare a variable like `catalog` and override its value per target under `targets.&lt;name&gt;.variables`, then reference it as `${var.catalog}` throughout the bundle. A duplicates code and invites drift. C only works for a narrow set of substitutions and is not how DABs propagate config into resource definitions. D is brittle and exactly the anti-pattern DABs were created to eliminate.	topic::Implementing_CI_CD subtopic::Automation_Bundle_DABs source::ai
Inside a Databricks Repo, a data engineer needs to perform several Git operations. Which operation CANNOT be performed from the Databricks Repos UI and must be done in the external Git provider (e.g., GitHub, GitLab)?<br><br><b>A.</b> Creating a new branch from the current branch.<br><b>B.</b> Committing and pushing local changes.<br><b>C.</b> Creating and reviewing pull requests / merge requests.<br><b>D.</b> Pulling the latest changes from the remote branch.	<b>Answer: C</b><br><br>Databricks Repos support common Git operations directly in the workspace UI — creating branches, committing, pushing, pulling, and resolving simple conflicts. However, pull/merge request creation and code review are not part of Repos; those happen in the external Git provider&#x27;s UI. A, B, and D are all supported in the Repos UI.	topic::Implementing_CI_CD subtopic::Databricks_Repos_and_Git_integration source::ai
A data engineer manages a large Delta table that is filtered by `customer_id` in some queries and by `event_date` in others. The team frequently changes which columns matter as new dashboards are added. Which optimization strategy is best suited to this access pattern?<br><br><b>A.</b> Partition the table by `event_date` and Z-ORDER by `customer_id` weekly.<br><b>B.</b> Enable Liquid Clustering on `customer_id` and `event_date`.<br><b>C.</b> Use bucketing on `customer_id` with 1024 buckets and rely on file pruning for date filters.<br><b>D.</b> Run `OPTIMIZE` with no clustering or Z-Order — Delta will choose layout automatically.	<b>Answer: B</b><br><br>Liquid Clustering is designed exactly for this case: multiple, evolving query predicates. Unlike static partitioning or one-shot Z-Order, clustering keys can be added/changed without rewriting the entire table, and the engine maintains data layout incrementally. A locks you into a partition column that may become wrong, and Z-Order requires expensive full re-clustering on changes. C is a Hive-era technique that does not optimize date predicates and is rarely the right answer on Delta. D leaves the data unclustered — `OPTIMIZE` alone just compacts files.	topic::Troubleshooting_Monitoring_and_Optimization subtopic::Liquid_Clustering_and_predictive_optimization source::ai
A scheduled job starts a new job cluster every morning. Last week it began failing at startup with the error `INSTANCE_UNREACHABLE` and a message that the cloud provider could not provision the requested instance type. What is the most likely root cause?<br><br><b>A.</b> The Databricks workspace token has expired and must be rotated.<br><b>B.</b> The cluster&#x27;s init script is downloading a file from an unreachable URL.<br><b>C.</b> The cloud account has hit its compute quota or the instance type is unavailable in the chosen region/AZ.<br><b>D.</b> Unity Catalog is denying the cluster permission to access the metastore.	<b>Answer: C</b><br><br>`INSTANCE_UNREACHABLE` paired with a &#x27;cloud provider could not provision&#x27; message is a classic cloud-side capacity or quota issue — the instance type is exhausted in the chosen AZ or the account&#x27;s vCPU quota is exceeded. The fix is to request a quota increase, switch instance family, or change region/AZ. A would surface as auth failures, not provisioning failures. B would surface only after the VM came up, with init-script-specific errors. D would manifest as metastore access errors at query time, not at cluster startup.	topic::Troubleshooting_Monitoring_and_Optimization subtopic::Cluster_startup_failures source::ai
A data engineer investigating a slow Spark job opens the Spark UI and notices that the longest stage shows large numbers in the &#x27;Shuffle Spill (Memory)&#x27; and &#x27;Shuffle Spill (Disk)&#x27; columns for most tasks. What does this indicate, and what is the most appropriate first response?<br><br><b>A.</b> The cluster is overloaded with concurrent jobs — pause other workloads.<br><b>B.</b> Executors do not have enough memory to hold their shuffle data, so it is spilling to disk; increase executor memory or reduce the per-partition data size (e.g., by increasing the number of shuffle partitions).<br><b>C.</b> The driver is the bottleneck — increase driver memory.<br><b>D.</b> Network bandwidth between the executors and cloud storage is saturated; switch to a faster storage tier.	<b>Answer: B</b><br><br>Shuffle spill columns explicitly track data that did not fit in executor memory during a shuffle and had to be written to disk (or serialized). The remedy is more executor memory or smaller partitions (typically by raising `spark.sql.shuffle.partitions`). A is unrelated to spill — that would manifest as resource starvation, not per-task spill metrics. C is wrong: shuffle spill is an executor-side phenomenon, not driver-side. D is wrong because shuffle spill is local memory-to-disk, not network I/O to cloud storage.	topic::Troubleshooting_Monitoring_and_Optimization subtopic::Spark_UI_bottlenecks source::ai
A multi-task Lakeflow Job has 6 tasks. Task 4 failed due to a transient external API outage, while tasks 1–3 succeeded and tasks 5–6 were skipped. The outage is resolved, and the engineer wants to rerun only task 4 and its downstream tasks 5 and 6, without re-executing the expensive tasks 1–3. What should they do?<br><br><b>A.</b> Click &#x27;Run now&#x27; on the job — Databricks will detect which tasks succeeded and skip them automatically.<br><b>B.</b> Use &#x27;Repair run&#x27; on the failed run and select the failed/skipped tasks; only those tasks will re-execute.<br><b>C.</b> Manually delete tasks 1–3 from the job, run it, then add them back.<br><b>D.</b> Clone the job, remove tasks 1–3 from the clone, and run the clone.	<b>Answer: B</b><br><br>&#x27;Repair run&#x27; is the exact feature for this scenario. It reuses the original run context and re-executes only the failed (and optionally skipped) tasks, leaving successful task outputs in place. A is wrong — &#x27;Run now&#x27; starts a new run and re-executes everything. C and D would work but are destructive/manual workarounds that are unnecessary because Repair run exists.	topic::Troubleshooting_Monitoring_and_Optimization subtopic::Lakeflow_Jobs_UI source::ai
A team lead wants to analyze the runtime trends of all production jobs over the past 90 days (durations, failure counts, retries) using SQL, so they can build a Databricks SQL dashboard. Which data source is the most appropriate?<br><br><b>A.</b> The Lakeflow Jobs UI — export each run page to CSV manually.<br><b>B.</b> The Databricks REST API `/api/2.1/jobs/runs/list` called repeatedly from a notebook.<br><b>C.</b> The `system.lakeflow` (or `system.workflow`) system tables, which expose job and run history as queryable tables.<br><b>D.</b> The driver log files of each cluster, parsed with regex.	<b>Answer: C</b><br><br>Databricks publishes job and run metadata into system tables (under the `system` catalog — e.g., `system.lakeflow.jobs`, `system.lakeflow.job_run_timeline`, etc.). These are queryable in SQL and are the canonical source for historical job analytics and dashboards. A is manual and does not scale. B works but is more work and rate-limited compared to direct SQL on system tables. D is a brittle, very-last-resort approach.	topic::Troubleshooting_Monitoring_and_Optimization subtopic::Job_performance_monitoring source::ai
In Unity Catalog, a data engineer GRANTs `SELECT` on `sales.orders` to the group `analysts`. User `alice` is a member of `analysts`. The engineer then explicitly issues `DENY SELECT ON TABLE sales.orders TO alice;`. What is the effect when alice queries the table?<br><br><b>A.</b> alice can still query the table — explicit GRANTs override DENYs.<br><b>B.</b> alice receives a permission error — DENY overrides any inherited GRANT.<br><b>C.</b> alice can query the table — DENY only blocks privileges that were granted directly to the principal, not inherited via a group.<br><b>D.</b> alice can query the table, but only if she is the owner of the table.	<b>Answer: B</b><br><br>In Unity Catalog, DENY is an explicit block that takes precedence over any GRANT — whether granted directly or inherited through group membership. Once `DENY SELECT` is issued on `alice`, she cannot SELECT from the table even though her group has SELECT. A is the inverse of the actual precedence rule. C is wrong — DENY applies regardless of whether the underlying GRANT came from a direct or group grant. D is unrelated; ownership doesn&#x27;t bypass an explicit DENY on the principal.	topic::Governance_and_Security subtopic::Access_controls_GRANT_REVOKE_DENY source::ai
A data engineer needs to ensure that the `ssn` column in the `customers` table appears as `***-**-****` for all users except members of the `pii_readers` group. Which Unity Catalog feature is the most direct way to implement this?<br><br><b>A.</b> Create a separate `customers_redacted` view and revoke SELECT on the base table for everyone except `pii_readers`.<br><b>B.</b> Define a SQL UDF that returns the masked or unmasked value based on `is_account_group_member(&#x27;pii_readers&#x27;)`, then attach it as a column mask using `ALTER TABLE customers ALTER COLUMN ssn SET MASK &lt;function&gt;`.<br><b>C.</b> Encrypt the `ssn` column at rest and give the encryption key only to `pii_readers`.<br><b>D.</b> Use `DENY SELECT(ssn) ON TABLE customers` to everyone, and `GRANT SELECT(ssn)` only to `pii_readers`.	<b>Answer: B</b><br><br>Unity Catalog supports column masks: a SQL UDF that takes the column value and returns either the original or a masked value, attached to the column with `ALTER TABLE ... ALTER COLUMN ... SET MASK`. The UDF can branch on `is_account_group_member(...)` to differentiate users. A works but duplicates objects and complicates governance. C confuses column masking with at-rest encryption — at-rest encryption is transparent to readers and doesn&#x27;t satisfy the requirement. D would block the entire `ssn` column for non-members rather than showing a masked value, and column-level GRANT/DENY does not support the masked-vs-original presentation pattern.	topic::Governance_and_Security subtopic::Column_level_masking_and_row_level_security source::ai
A data engineer wants users in the `eu_analysts` group to only see rows where `customer_region = &#x27;EU&#x27;`, while users in `us_analysts` should only see rows where `customer_region = &#x27;US&#x27;`. Both groups should query the same `customers` table without knowing about the filter. What is the appropriate Unity Catalog feature?<br><br><b>A.</b> A row filter: a SQL UDF returning a boolean predicate, attached with `ALTER TABLE customers SET ROW FILTER &lt;function&gt; ON (customer_region)`.<br><b>B.</b> Two materialized views, `customers_eu` and `customers_us`, with SELECT granted to each group.<br><b>C.</b> A column mask on `customer_region` that returns NULL for the other region.<br><b>D.</b> An ABAC policy that revokes SELECT on rows where `customer_region` does not match the user&#x27;s tag.	<b>Answer: A</b><br><br>Row-level security in Unity Catalog is implemented via row filters — SQL UDFs that return a boolean predicate evaluated against each row, attached to the table with `SET ROW FILTER`. The UDF can branch on `is_account_group_member(...)`. B works but requires per-region objects and grants; the question specifies querying the same table. C is wrong — masking a value to NULL does not remove rows, and users can still see the row count and other columns. D describes a plausible-sounding ABAC pattern but conflates row filtering with attribute-based access; ABAC policies govern access decisions, not per-row predicates inside a table.	topic::Governance_and_Security subtopic::Column_level_masking_and_row_level_security source::ai
A data governance team wants to control access to hundreds of tables based on tags such as `sensitivity = &#x27;pii&#x27;` rather than writing individual GRANT statements per table. What Unity Catalog capability addresses this?<br><br><b>A.</b> Dynamic views that filter rows based on user attributes.<br><b>B.</b> Attribute-Based Access Control (ABAC) policies that grant or deny privileges based on tags applied to securable objects (and optionally on principal attributes).<br><b>C.</b> Row filters with a UDF that reads table comments to discover sensitivity.<br><b>D.</b> Inheritance: granting SELECT at the catalog level so every tagged table is automatically governed.	<b>Answer: B</b><br><br>ABAC in Unity Catalog lets you write policies that reference tags on securable objects (and principal attributes) instead of enumerating each table. Tag a table with `sensitivity = &#x27;pii&#x27;`, then a policy can restrict it to a specific group across all such tables — exactly the scale-by-tag pattern described. A and C describe row-level features that do not address the &#x27;hundreds of tables&#x27; scoping problem. D (catalog-level GRANT) is a coarse blanket approach that doesn&#x27;t selectively gate on tags.	topic::Governance_and_Security subtopic::ABAC_policies source::ai
A data engineer has an external Delta table in Unity Catalog whose underlying files live in a specific S3 bucket. The team has decided to migrate to managed tables for stronger lifecycle control and predictive optimization. Which approach correctly converts the external table to a managed table?<br><br><b>A.</b> Run `ALTER TABLE ... SET TBLPROPERTIES (&#x27;managed&#x27; = &#x27;true&#x27;)` to flip the table from external to managed in place.<br><b>B.</b> Drop the external table (which leaves the files intact) and recreate it as a managed table — Unity Catalog will automatically reuse the existing files at the same path.<br><b>C.</b> Create a new managed table and copy the data into it (e.g., `CREATE TABLE managed_t AS SELECT * FROM external_t`), then drop the external table once verified. The new table&#x27;s data lives in the metastore-managed storage location.<br><b>D.</b> Move the underlying files into the metastore root storage path manually, then run `MSCK REPAIR TABLE`.	<b>Answer: C</b><br><br>There is no in-place conversion between managed and external tables in Unity Catalog. The correct migration pattern is to create a new managed table and populate it via CTAS (or `INSERT INTO ... SELECT`), validate, then drop the original external table. The managed table&#x27;s data is automatically stored in the metastore&#x27;s (or catalog/schema&#x27;s) managed storage location. A is fabricated — no such property exists. B is incorrect: dropping an external table leaves files in place, but a new managed table will not automatically adopt arbitrary external files and would have its own managed storage path. D conflates Hive-style file manipulation with Unity Catalog and is unsupported.	topic::Governance_and_Security subtopic::Managed_vs_external_tables source::ai
Which of the following benefits is provided by the array functions from Spark SQL?<br><br><b>A.</b> An ability to work with data in a variety of types at once<br><b>B.</b> An ability to work with data within certain partitions and windows<br><b>C.</b> An ability to work with time-related data in specified intervals<br><b>D.</b> An ability to work with complex, nested data ingested from JSON files 	<b>Answer: D</b><br><br>D. Spark SQL array (and the related struct/map) functions exist specifically to manipulate complex, nested data — the kind you get when reading JSON, where arrays and nested objects are common. A is too vague (Spark already handles many types). B describes partitioning / window functions. C describes interval and date/time functions.	topic::Data_Transformation_and_Modeling subtopic::Column_and_row_manipulation source::examtopics
Which of the following benefits of using the Databricks Lakehouse Platform is provided by Delta Lake?<br><br><b>A.</b> The ability to manipulate the same data using a variety of languages<br><b>B.</b> The ability to collaborate in real time on a single notebook<br><b>C.</b> The ability to set up alerts for query failures<br><b>D.</b> The ability to support batch and streaming workloads <br><b>E.</b> The ability to distribute complex data operations	<b>Answer: D</b><br><br>D. Delta Lake&#x27;s signature benefit is the ability to use a single table for both batch and streaming reads/writes (it can act as both a streaming source and sink while preserving ACID guarantees). A (multi-language manipulation) is a notebook/Spark feature. B (real-time co-editing) is a notebook feature. C (failure alerts) belongs to Databricks SQL/Jobs. E (distributed operations) is Spark. [Community vote] D: 41.	topic::Databricks_Intelligence_Platform subtopic::Core_components_and_architecture source::examtopics
Which tool is used by Auto Loader to process data incrementally?<br><br><b>A.</b> Checkpointing<br><b>B.</b> Spark Structured Streaming <br><b>C.</b> Databricks SQL<br><b>D.</b> Unity Catalog	<b>Answer: B</b><br><br>B. Auto Loader (`cloudFiles`) is built on top of **Spark Structured Streaming** — that&#x27;s the engine that does the incremental processing. A (Checkpointing) is the *mechanism* Structured Streaming uses to remember which files have already been ingested, but checkpointing is a feature of Structured Streaming, not the tool itself. C (Databricks SQL) is a query/BI interface, not an ingestion engine. D (Unity Catalog) is governance/metadata.<br><br>[Community vote] B: 27 (top, matches stated), A: 18. The minority votes for A confuse the *mechanism* (checkpointing) with the *tool* (Structured Streaming) — checkpointing is what Structured Streaming uses internally.	topic::Data_Ingestion_and_Loading subtopic::Auto_Loader source::examtopics
What is stored in the Databricks customer&#x27;s cloud account?<br><br><b>A.</b> Databricks web application<br><b>B.</b> Cluster management metadata<br><b>C.</b> Notebooks<br><b>D.</b> Data 	<b>Answer: D</b><br><br>D. In the Databricks classic architecture, the **control plane** (Databricks-managed account) hosts the web UI, cluster manager, and notebooks metadata; the **data plane** sits in the customer&#x27;s cloud account and is where compute runs and data lives. So only the data is in the customer&#x27;s account. A, B, and C all live in the control plane. [Community vote] D: 8.	topic::Databricks_Intelligence_Platform subtopic::Core_components_and_architecture source::examtopics
